postcode,locality,state,lat,long
2032,DACEYVILLE,NSW,-33.9289328,151.2251839
2032,KINGSFORD,NSW,-33.9215922,151.2272307
2033,KENSINGTON,NSW,-33.9117191,151.2195058
2034,COOGEE,NSW,-33.9217004,151.2557975
2034,SOUTH COOGEE,NSW,-33.9322056,151.2539567
2035,MAROUBRA,NSW,-33.9453441,151.2456824
2035,MAROUBRA SOUTH,NSW,-33.9512306,151.2555999
2035,PAGEWOOD,NSW,-33.9390664,151.2199363
2036,CHIFLEY,NSW,-33.9702813,151.2394867
2036,EASTGARDENS,NSW,-33.9447657,151.2250921
2036,HILLSDALE,NSW,-33.9529465,151.2274123
2036,LA PEROUSE,NSW,-33.9886291,151.2320796
2036,LITTLE BAY,NSW,-33.9834309,151.2470329
2036,MALABAR,NSW,-33.9629779,151.2480171
2036,MATRAVILLE,NSW,-33.9639325,151.2334198
2036,PHILLIP BAY,NSW,-33.9787887,151.2327229
2036,PORT BOTANY,NSW,-33.9734678,151.2178519
2037,FOREST LODGE,NSW,-33.8805556,151.1783333
2037,GLEBE,NSW,-33.8777782,151.1862377
2038,ANNANDALE,NSW,-33.881224,151.1709976
2039,ROZELLE,NSW,-33.8645002,151.1743543
2040,LEICHHARDT,NSW,-33.8819328,151.155867
2040,LILYFIELD,NSW,-33.8709879,151.1616185
2041,BALMAIN,NSW,-33.8583992,151.1807353
2041,BALMAIN EAST,NSW,-33.8571789,151.192354
2041,BIRCHGROVE,NSW,-33.8507685,151.1830352
2042,ENMORE,NSW,-33.8996968,151.170986
2042,NEWTOWN,NSW,-33.8961132,151.1801893
2043,ERSKINEVILLE,NSW,-33.9021718,151.1859881
2044,ST PETERS,NSW,-33.9111235,151.1761345
2044,ST PETERS DC,NSW,,
2044,SYDENHAM,NSW,-33.9147428,151.1661069
2044,TEMPE,NSW,-33.9247552,151.1647529
2045,HABERFIELD,NSW,-33.8794325,151.1391605
2046,ABBOTSFORD,NSW,-33.8505529,151.129759
2046,CANADA BAY,NSW,-33.8646692,151.1151554
2046,CHISWICK,NSW,-33.8498337,151.1378781
2046,FIVE DOCK,NSW,-33.8690024,151.1290231
2046,RODD POINT,NSW,-33.8658359,151.143583
2046,RUSSELL LEA,NSW,-33.8585361,151.1416007
2046,WAREEMBA,NSW,-33.8575001,151.1319513
2047,DRUMMOYNE,NSW,-33.8520678,151.153689
2048,STANMORE,NSW,-33.8936689,151.1656456
2048,WESTGATE,NSW,-33.7684539,150.9039364
2049,LEWISHAM,NSW,-33.8953868,151.1466449
2049,PETERSHAM,NSW,-33.8945061,151.1554222
2049,PETERSHAM NORTH,NSW,-33.8896094,151.1589571
2050,CAMPERDOWN,NSW,-33.8896116,151.1800986
2050,MISSENDEN ROAD,NSW,-33.8897154,151.1821526
2052,UNSW SYDNEY,NSW,-33.9061522,151.197683
2055,NORTH SYDNEY,NSW,-33.8354519,151.2083011
2057,CHATSWOOD,NSW,-33.7967377,151.1814306
2058,NORTHERN SUBURBS MC,NSW,,
2059,NORTH SYDNEY,NSW,-33.8354519,151.2083011
2060,HMAS PLATYPUS,NSW,-33.8431062,151.2171166
2060,HMAS WATERHEN,NSW,-33.840801,151.1938302
2060,LAVENDER BAY,NSW,-33.8432002,151.2074155
2060,MCMAHONS POINT,NSW,-33.8443387,151.2027957
2060,NORTH SYDNEY,NSW,-33.8354519,151.2083011
2060,NORTH SYDNEY SHOPPINGWORLD,NSW,,
2060,WAVERTON,NSW,-33.8375313,151.1973535
2061,KIRRIBILLI,NSW,-33.8476659,151.2158138
2061,MILSONS POINT,NSW,-33.8471255,151.2115234
2062,CAMMERAY,NSW,-33.8222738,151.2139868
2063,NORTHBRIDGE,NSW,-33.8111111,151.2175
2064,ARTARMON,NSW,-33.8084051,151.184511
2065,CROWS NEST,NSW,-33.8256273,151.2014745
2065,CROWS NEST DC,NSW,,
2065,GORE HILL,NSW,-33.815,151.1844444
2065,GREENWICH,NSW,-33.8300104,151.1855621
2065,NAREMBURN,NSW,-33.8172735,151.2012204
2065,ROYAL NORTH SHORE HOSPITAL,NSW,-33.8214323,151.1911201
2065,ST LEONARDS,NSW,-33.8225666,151.1923402
2065,WOLLSTONECRAFT,NSW,-33.8332039,151.1959273
2066,LANE COVE,NSW,-33.8232026,151.1697148
2066,LANE COVE NORTH,NSW,-33.8054674,151.1632084
2066,LANE COVE WEST,NSW,-33.8119396,151.150078
2066,LINLEY POINT,NSW,-33.8272222,151.15
2066,LONGUEVILLE,NSW,-33.8291667,151.1686111
2066,NORTHWOOD,NSW,-33.827964,151.1782693
2066,OSBORNE PARK,NSW,-33.6241784,150.6967411
2066,RIVERVIEW,NSW,-33.823207,151.1600134
2067,CHATSWOOD,NSW,-33.7967377,151.1814306
2067,CHATSWOOD WEST,NSW,-33.7960029,151.1597081
2068,CASTLECRAG,NSW,-33.8003455,151.2197795
2068,MIDDLE COVE,NSW,-33.7927992,151.2112471
2068,NORTH WILLOUGHBY,NSW,-33.7942571,151.1994493
2068,WILLOUGHBY,NSW,-33.8015995,151.1836478
2068,WILLOUGHBY EAST,NSW,-33.7991667,151.2061111
2068,WILLOUGHBY NORTH,NSW,-33.7942571,151.1994493
2069,CASTLE COVE,NSW,-33.7865285,151.2143187
2069,ROSEVILLE,NSW,-33.784545,151.1778441
2069,ROSEVILLE CHASE,NSW,-33.7747222,151.2002778
2070,EAST LINDFIELD,NSW,-33.7674175,151.1874672
2070,LINDFIELD,NSW,-33.775698,151.1688652
2070,LINDFIELD WEST,NSW,-33.7781904,151.1575783
2071,EAST KILLARA,NSW,-33.7540328,151.1762055
2071,KILLARA,NSW,-33.7660606,151.1601121
2072,GORDON,NSW,-33.7553899,151.1518099
2073,PYMBLE,NSW,-33.7450185,151.1424708
2073,WEST PYMBLE,NSW,-33.7646844,151.1318993
2074,BOBBIN HEAD,NSW,-33.6724876,151.1612721
2074,NORTH TURRAMURRA,NSW,-33.6911595,151.1519372
2074,SOUTH TURRAMURRA,NSW,-33.7510951,151.1084667
2074,TURRAMURRA,NSW,-33.7328828,151.128541
2074,WARRAWEE,NSW,-33.7279732,151.1232279
2075,NORTH ST IVES,NSW,-33.715,151.1677778
2075,ST IVES,NSW,-33.7292063,151.159396
2075,ST IVES CHASE,NSW,-33.7030556,151.1652778
2076,NORMANHURST,NSW,-33.7238649,151.0977351
2076,NORTH WAHROONGA,NSW,-33.7024148,151.1283034
2076,WAHROONGA,NSW,-33.7183413,151.1174435
2077,ASQUITH,NSW,-33.6884076,151.1078178
2077,HORNSBY,NSW,-33.7040253,151.1005847
2077,HORNSBY HEIGHTS,NSW,-33.6630602,151.1021935
2077,WAITARA,NSW,-33.7109319,151.1047986
2079,MOUNT COLAH,NSW,-33.6719686,151.1145291
2080,MOUNT KURING-GAI,NSW,-33.6531707,151.1368681
2081,BEROWRA,NSW,-33.6237183,151.1515392
2081,COWAN,NSW,-33.5888297,151.1698568
2082,BEROWRA CREEK,NSW,-33.52832,151.1367394
2082,BEROWRA HEIGHTS,NSW,-33.6134319,151.1395327
2082,BEROWRA WATERS,NSW,-33.5994177,151.1229517
2083,BAR POINT,NSW,-33.5145852,151.1637781
2083,BROOKLYN,NSW,-33.5470764,151.2263057
2083,CHEERO POINT,NSW,-33.5105556,151.1933333
2083,COGRA BAY,NSW,-33.5194444,151.2241667
2083,DANGAR ISLAND,NSW,-33.5387077,151.239494
2083,MILSONS PASSAGE,NSW,-33.5157613,151.1768241
2083,MOONEY MOONEY,NSW,-33.5238945,151.203356
2084,AKUNA BAY,NSW,-33.6483305,151.2344447
2084,COTTAGE POINT,NSW,-33.6195161,151.203318
2084,DUFFYS FOREST,NSW,-33.6733265,151.1927796
2084,TERREY HILLS,NSW,-33.6918185,151.2205908
2085,BELROSE,NSW,-33.730009,151.2191438
2085,BELROSE WEST,NSW,-33.7222854,151.2164016
2085,DAVIDSON,NSW,-33.7398592,151.1942222
2086,FRENCHS FOREST,NSW,-33.7479954,151.2292718
2086,FRENCHS FOREST EAST,NSW,-33.7511291,151.2444067
2087,FORESTVILLE,NSW,-33.7620891,151.2150889
